total_label|passport_label|con|con_label|connected_genvec
text|text|text|text|jsonb

5.2-1.0.2.2.2.2.2.2.2.2.2.2.2.2.1.1|5.2-1.0.2.2.2.2.2.2.2.2.2.2.2.2.1|[ 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 2A, 2A, 2A, 2A, 2A, 2A ]|[ a, a, a, a, a, a, a, a, a, a, a, a ]
5.3-1.0.3.3.3.3.3.3.3.1.1|5.3-1.0.3.3.3.3.3.3.3.1|[ 2, 2, 3, 3, 3, 3, 3 ]|[ 3A-1, 3A-1, 3A1, 3A1, 3A1, 3A1, 3A1 ]|[ a, a, a^2, a^2, a^2, a^2, a^2 ]
5.3-1.0.3.3.3.3.3.3.3.2.1|5.3-1.0.3.3.3.3.3.3.3.2|[ 2, 2, 2, 2, 2, 3, 3 ]|[ 3A-1, 3A-1, 3A-1, 3A-1, 3A-1, 3A1, 3A1 ]|[ a, a, a, a, a, a^2, a^2 ]
5.4-1.0.2.2.4.4.4.4.1.1|5.4-1.0.2.2.4.4.4.4.1|[ 2, 2, 3, 3, 3, 3 ]|[ 2A, 2A, 4A1, 4A1, 4A1, 4A1 ]|[ a^-2, a^-2, a, a, a, a ]
5.4-1.0.2.2.4.4.4.4.2.1|5.4-1.0.2.2.4.4.4.4.2|[ 2, 2, 3, 3, 4, 4 ]|[ 2A, 2A, 4A1, 4A1, 4A-1, 4A-1 ]|[ a^-2, a^-2, a, a, a^-1, a^-1 ]
5.4-1.0.2.2.4.4.4.4.3.1|5.4-1.0.2.2.4.4.4.4.3|[ 2, 2, 4, 4, 4, 4 ]|[ 2A, 2A, 4A-1, 4A-1, 4A-1, 4A-1 ]|[ a^-2, a^-2, a^-1, a^-1, a^-1, a^-1 ]
5.4-1.0.2.2.2.2.2.4.4.1.1|5.4-1.0.2.2.2.2.2.4.4.1|[ 2, 2, 2, 2, 2, 3, 3 ]|[ 2A, 2A, 2A, 2A, 2A, 4A1, 4A1 ]|[ a^-2, a^-2, a^-2, a^-2, a^-2, a, a ]
5.4-1.0.2.2.2.2.2.4.4.2.1|5.4-1.0.2.2.2.2.2.4.4.2|[ 2, 2, 2, 2, 2, 4, 4 ]|[ 2A, 2A, 2A, 2A, 2A, 4A-1, 4A-1 ]|[ a^-2, a^-2, a^-2, a^-2, a^-2, a^-1, a^-1 ]
5.4-2.0.2.2.2.2.2.2.2.2.1.1|5.4-2.0.2.2.2.2.2.2.2.2.1|[ 3, 3, 3, 3, 3, 3, 4, 4 ]|[ 2A, 2A, 2A, 2A, 2A, 2A, 2B, 2B ]|[ a, a, a, a, a, a, ba, ba ]
5.4-2.0.2.2.2.2.2.2.2.2.2.1|5.4-2.0.2.2.2.2.2.2.2.2.2|[ 3, 3, 3, 3, 4, 4, 4, 4 ]|[ 2A, 2A, 2A, 2A, 2B, 2B, 2B, 2B ]|[ a, a, a, a, ba, ba, ba, ba ]
5.4-2.0.2.2.2.2.2.2.2.2.3.1|5.4-2.0.2.2.2.2.2.2.2.2.3|[ 3, 3, 4, 4, 4, 4, 4, 4 ]|[ 2A, 2A, 2B, 2B, 2B, 2B, 2B, 2B ]|[ a, a, ba, ba, ba, ba, ba, ba ]
5.4-2.0.2.2.2.2.2.2.2.2.4.1|5.4-2.0.2.2.2.2.2.2.2.2.4|[ 2, 2, 3, 3, 3, 3, 3, 3 ]|[ 2C, 2C, 2A, 2A, 2A, 2A, 2A, 2A ]|[ b, b, a, a, a, a, a, a ]
5.4-2.0.2.2.2.2.2.2.2.2.5.1|5.4-2.0.2.2.2.2.2.2.2.2.5|[ 2, 2, 3, 3, 3, 3, 4, 4 ]|[ 2C, 2C, 2A, 2A, 2A, 2A, 2B, 2B ]|[ b, b, a, a, a, a, ba, ba ]
5.4-2.0.2.2.2.2.2.2.2.2.6.1|5.4-2.0.2.2.2.2.2.2.2.2.6|[ 2, 2, 3, 3, 4, 4, 4, 4 ]|[ 2C, 2C, 2A, 2A, 2B, 2B, 2B, 2B ]|[ b, b, a, a, ba, ba, ba, ba ]
